Title,description,authors,publisher,publishedDate,categories
Extending Acrobat Forms with JavaScript,"Unlike other books on JavaScript, which explain how to write JavaScript programs for the Web,Extending Acrobat Forms with JavaScriptis the first and only book to explain how to use JavaScript to create sophisticated, interactive documents in Adobe Acrobat. Acrobat expertJohn Deubertteaches JavaScript programming basics in the context of carrying out specific, useful tasks in Acrobat. For example, you¿ll learn how to manipulate Acrobat with JavaScript to perform calculations, retrieve data from a database, process form data, and more. And each tutorial is broken down into small, manageable chunks so as not to overwhelm you with long blocks of code. A one-of-a kind book,Extending Acrobat Forms with JavaScriptis a great resource for anyone who wants to gain more control over Adobe¿s extremely popular Acrobat software.",['John Deubert'],Adobe Press,2003,['Computers']
Unvanquished,"For years the United States has treated the United Nations as an extension of its own foreign policy, while other member states--especially smaller, less influential countries--have looked to the United Nations to represent their collective interests. This conflict escalated in the fall of 1996, when the United States unilaterally decided to deny Secretary-General Boutros Boutros-Ghali a second term. In this book Boutros-Ghali argues that U.S. policy toward the United Nations threatens the fragile fabric of the international organization. By selectively consulting the Security Council, the United States has frequently condemned the United Nations to the status of scapegoat in international affairs, notably during peacekeeping missions in Bosnia, Somalia, and Rwanda. Meanwhile, the United Nations's financial crisis persists as the United States fails to pay its bills while seeking to further increase its already considerable influence within the organization. In October 1995 President Clinton lavishly praised Boutros-Ghali for his ""outstanding leadership,"" and thanked him for his ""vision."" Yet, a mere four months later, the Clinton administration decided that Boutros-Ghali would have to go. What happened in that short time to convince the United States that the secretary-general was now a liability? United States domestic electoral politics were decisive: While campaigning for the primaries, Bob Dole was scoring heavily by repeatedly ridiculing Boutros-Ghali. To neutralize Dole's challenge, Clinton denied the controversial secretary-general a second term, vetoing his reelection in the Security Council despite unanimous support from its other members. Boutros-Ghali reveals the dramatic conflict and the personalities involved and considers the future of the United Nations in light of American domination.",['Boutros Boutros-Ghali'],Random House,1999-06-01,['Biography & Autobiography']
Big Band Sound,"(Big Band Play-Along). With these 10 authentic arrangements, instrumentalists can be a part of a full big band sound! Includes: Autumn Leaves * Easy to Love (You'd Be So Easy to Love) * Georgia on My Mind * Harlem Nocturne * It Might As Well Be Spring * Ja-Da * Just in Time * My Funny Valentine * Night Song * On the Sunny Side of the Street.",['Hal Leonard Publishing Corporation'],Hal Leonard Publishing Corporation,2009,['Music']
Reading the Wild,"Een Moluks eiland, in de nadagen van de Nederlandse kolonialisering. Felicia, ‘mevrouw van Kleyntjes’, woont alleen met haar bedienden op een afgelegen plantage aan een baai. Ze herinnert zich de doden en de levenden, met weemoed maar berustend in haar lot. De tienduizend dingen werd wereldwijd een groot succes. Toen het in 1958 in de Verenigde Staten verscheen, duwde het Dr. Zhivago en Breakfast at Tiffany’s uit de bestsellerlijsten.",['Maria Dermoût'],Singel Uitgeverijen,2015-06-30,['Fiction']
The Man Who Planted Trees: A Story Jean Giono,"‘A book for children from 8 to 80. I love the humanity of this story and how one man’s efforts can change the future for so many. It’s a real message of hope.’ Michael Morpurgo Discover this beloved masterpiece of nature writing that is a hymn to creation and to the power of the individual to do their bit to change the world for the better. In 1910, while hiking through the wild lavender in a wind-swept, desolate valley in Provence, a man comes across a shepherd called Elzéard Bouffier. Staying with him, he watches Elzéard sorting and then planting hundreds of acorns as he walks through the wilderness. Ten years later, after surviving the First World War, he visits the shepherd again and sees the young forest he has created spreading slowly over the valley. Elzéard’s solitary, silent work continues and the narrator returns year after year to see the miracle he is gradually creating: a verdant, green landscape that is a testament to one man’s creative instinct. A beautiful story of hope, survival and selflessness, The Man Who Planted Trees resonates as strongly with readers today as when it was first published.",['Jean Giono'],Random House,2015-01-29,['Fiction']
Keeping Warm: A Sensible Guide to Heat Conservation,"Explains the principles of heat loss, moisture condensation and airflow and tells how to make the best use of insulation, woodburning stoves, fireplaces, greenhouses and passive solar collectors",['Peter V. Fossel'],Putnam Publishing Group,1983,['Technology & Engineering']
"The Kindling (The Fire-Us Trilogy, Book 1)","It is the year 2007. The world has been wiped out by a deadly plague that killed all the adults. Without them, children perished of hunger and disease. No more people, no more electricity, no more civilization -- just mildewed houses, overgrown yards, and abandoned cars. Yet on a highway strip outside a small town in Florida, the words ""We're Still Here"" are painted in letters big enough to be seen from an airplane -- although no planes ever cross the empty sky. Miraculously, seven children have survived among the ruins. They cannot remember their names, their families, or much else from the Before Time. But they have forged a new family, with new names: Mommy, Hunter, Teacher, Action Figure, Teddy Bear, Baby, and Doll. They must face each day with enough hope to endure and the strength to realize that there may be nothing out there worth living for. Then one day, a new kid shows up on their doorstep and changes everything. He invites them to join him on a dangerous journey to Washington, to find a man called President if he's still alive -- and seek the answers to the mystery at the heart of the Fire-us. In this first book of the Fire-us Trilogy, Jennifer Armstrong and Nancy Butcher weave a compelling post-apocalyptic tale, luring readers into a world that is inventive enough to intrigue, yet true enough to believe.",['Jennifer Armstrong'],HarperCollins,2002-04-01,['Juvenile Fiction']
"Please, Spell the Name Right","Memoir from stage, screen and daytime TV actor Jed Allan.","['Jed Allan', 'Rusty Fischer']",,2005-01-01,['Biography & Autobiography']
Gus the Greedy Puppy (Puppy Friends),"Gus the puppy will eat almost anything, and when Mrs. Wilson's diamond ring disappears, he becomes the prime suspect.",['Jenny Dale'],Simon and Schuster,2000-01-01,['Juvenile Fiction']
Adoniram Judson,"As America's first foreign missionary, Adoniram Judson worked to translate the Bible into Burmese. He survived starvation, imprisonment, and torture both on land and at sea only to watch his family, coworkers, and friends succumb to death.","['Janet Benge', 'Geoff Benge']",Y W A M Pub,2000-01-01,['Juvenile Nonfiction']
Ransom,"Pleidooi voor een eerlijke wereldhandel, met oog voor armoede en de belangen van producenten in arme landen.",,Lemniscaat Publishers,2003,
Bringing Baby Home: A New Owners Manual for First Time Parents,"Zahn's sense of humor and clear directions make this a simple, enjoyable book to read. Real advice for the real world -- go buy it today. The Best Books for You & Your Baby. Benjamin Franklin and Midwest Book Achievement Award winner.",['Laura Zahn'],,1993,['Family & Relationships']
Red-Color News Soldier,"In 1966 lanceerde de ouder wordende Mao een ambitieus programma om zijn nalatenschap veilig te stellen. Hij liet de Rode Gardisten los op zijn vijanden en alles wat herinnerde aan de oude cultuur. Al snel bevochten gewapende rivaliserende partijen elkaar op straat, in naam van revolutionaire puurheid. De Culturele Revolutie was begonnen. Het leger ging zich ermee bemoeien en het land veranderde in een politiestaat met bloedige zuiveringsacties die een op de vijftig mensen het leven kostten. Maar ook het leger moest uiteindelijk het onderspit delve tijdens de Culturele Revolutie. Inwoners van steden en dorpen zagen een kans om onder de planeconomie uit te komen en de vrije markt weer tot leven te wekken. In het hele land gingen miljoenen en miljoenen dorpsbewoners terug naar de traditionele manier van leven en werken, er ontstonden zwarte markten, het land werd teruggegeven aan families en er werden illegale fabrieken geopend. Zelfs voordat Mao overleed in 1976 hadden grote delen van het platteland al afscheid genomen van de planeconomie. Nieuw bewijsmateriaal uit de archieven maakt duidelijk dat het deze burgers waren die het maoïsme met hun stille revolutie ten grave hebben gedragen. De Culturele Revolutie, een volksgeschiedenis, 1962-1976, is het derde boek in Dikötters ‘Volks’-trilogie over China in de tijd van Mao. Het eerste boek is De tragiek van de bevrijding, de geschiedenis van de Chinese Revolutie, 1945-1957, het tweede boek is Mao’s massamoord, De geschiedenis van China’s grootste drama, 1958-1962. De drie boeken geven elk een nauwkeurig en indringend beeld van een deel van het Mao-tijdperk en zijn uitstekend los van elkaar te lezen. De boeken zijn in China verboden. Frank Dikötter werd in 1961 in Nederland geboren en groeide op in Zwitserland. Sinds 2006 is hij hoogleraar Humanistiek aan de Universiteit van Hongkong, voor die tijd was hij hoogleraar Moderne Chinese geschiedenis aan de Universiteit van Londen. In 2011 won hij de Samuel Johnson Prize for Non-Fiction.",['Frank Dikötter'],Spectrum,2016-05-25,['History']
"The Complete Guide to Home Masonry: Step-by-Step Projects & Repairs Using Concrete, Brick, Block & Stone (Black & Decker Home Improvement Library)","-- Includes instructions for building popular masonry projects, such as barbecues, patios and retaining walls. -- Step-by-step instructions accompanied by color photos.",['Creative Publishing International'],Creative Publishing International,2000,['House & Home']
Basic Woodworking (Sunset New Basic),"Master the basics of cutting, joining, and finishing wood with this handy guidebook. Learn how to assemble a bookcase, make a mortise-and-tenon joint, construct your own beam compass, and more.",['Sunset Books'],Sunset Publishing Company,1995,['House & Home']
The Spiral Dance 10th Anniversary Edition (A Rebirth of the Ancient Religion of the Great Goddess),"The twentieth anniversary edition of The Spiral Dance celebrates the pivotal role the book has had in bringing Goddess worship to the religious forefront. This bestselling classic is both an unparalleled reference on the practices and philosophies of Witchcraft and a guide to the life-affirming ways in which readers can turn to the Goddess to deepen their sense of personal pride, develop their inner power, and integrate mind, body, and spirit. Starhawk's brilliant, comprehensive overview of the growth, suppression, and modern-day re-emergence of Wicca as a Goddess-worshipping religion has left an indelible mark on the feminist spiritual consciousness. In a new introduction, Starhawk reveals the ways in which Goddess religion and the practice of ritual have adapted and developed over the last twenty years, and she reflects on the ways in which these changes have influenced and enhanced her original ideas. In the face of an ever-changing world, this invaluable spiritual guidebook is more relevant than ever.",['Starhawk'],Harper Collins,2011-09-13,"['Body, Mind & Spirit']"
Stubborn Twig: Three Generations in the Life of a Japanese American Family,"Stubborn Twig, originally published in 1994, is a classic American tale of immigrants making their way in a new land. Masuo Yasui arrived in America in 1903 with big dreams and empty pockets. He worked on the railroads, in a cannery, and as a houseboy before settling in Hood River, Oregon, to open a store, raise a large family, and become one of the area's most successful orchardists. December 7, 1941, changed the family's lives completely and forever. Forced from their homes and interned in vast inland ""camps"", the family was shamed and broken. But the Yasuis endured to claim their place as Americans in a diverse and sometimes troubled society. Lauren Kessler is the author of ten books, including her newest, Clever Girl: Elizabeth Bentley, the Spy Who Ushered in the McCarthy Era. She directs the graduate program in literary non-fiction at the University of Oregon in Eugene.",['Lauren Kessler'],Oregon Historical Society Press,2005,['History']
Number: From Ahmes to Cantor,Publisher Description,['Midhat J. Gazalé'],Princeton University Press,2000,['Mathematics']
Oracle Security Step-by-Step (Version 2.0),"Designed expressly for the beginner, Oracle8i Networking 101 teaches the critical topics necessary to run Oracle8i on a network.",['Marlene Theriault'],McGraw Hill Professional,2000-09-15,['Computers']
Gambling theory & other topics,"Absolutely must reading for all serious gamblers. Most people who gamble are basically attracted by the action and the excitement that this form of entertainment offers. But a small number of people are quite successful at it. How is this so? What helps these few to make decisions that devastate their opponents? And what do you need to do to become successful at this extremely challenging occupation? This text attempts to answer these questions. You will be introduced to the dynamic concept of non-self-weighting strategies and shown how these strategies apply not only at the ""very exciting gaming tables"" but in real life as well. In addition, risk and fluctuations are discussed in terms of the standard deviation and their relationship to each other and to your bankroll. Some of the other topics addressed are bankroll requirements, win-rate accuracy, free bets, which blackjack count is best, lottery fallacies, dangerous ideas, poker tournament strategies (including when it is correct to rebuy), settling up in tournaments, pai gow poker, super pan nine, the world's greatest gamblers, and building pyramids.",['Mason Malmuth'],Two Plus Two Publishing LLC,1999,['Games & Activities']
"Ancient Egyptian Literature: Volume I: The Old and Middle Kingdoms (Near Eastern Center, UCLA)",Band 1.,['Miriam Lichtheim'],Univ of California Press,1975,['Eastern Pomo language']
Lives of Christopher Chant,"Young Christopher Chant, in training to become the next Chrestomanci or head controller of magic in the world, becomes a key figure in a battle with renegade sorcerers because he has nine lives. Copyright © Libri GmbH. All rights reserved.",['Diana Wynne Jones'],Random House Books for Young Readers,1990-03,['Juvenile Fiction']
"Life Histories of North American Nuthatches, Wrens, Thrashers and Their Allies","This is the sixteenth in a series of bulletins of the United States National Museum on the life histories of North American birds, with previous numbers issued as follows: 107, 113, 121, 126, 130, 135, 142, 146, 162, 167, 170, 174, 176, 179, 191. This bulletin deals with the Order Passeriformes, specifically the Families of Sittidae (Nuthatches) ; Certhiidae (Creepers) ; Chamaeidae (Wren-tits) ; Cinclidae (Dippers) ; Troglodytidae (Wrens) ; and Mimidae (Mockingbirds and thrashers) of North America.",['Arthur Cleveland Bent'],,1948,['Birds']
The Sing-Song of Old Man Kangaroo (Just So Stories),Relates how the proud kangaroo became different from all other animals.,['Rudyard Kipling'],Simon & Schuster,1990,['Juvenile Fiction']
Field Quantization,"Theoretical physics has become a many-faceted science. For the young stu dent it is difficult enough to cope with the overwhelming amount of new scientific material that has to be learned, let alone obtain an overview of the entire field, which ranges from mechanics through electrodynamics, quantum mechanics, field theory, nuclear and heavy-ion science, statistical mechanics, thermodynamics, and solid-state theory to elementary-particle physics. And this knowledge should be acquired in just 8-10 semesters, during which, in addition, a Diploma or Master's thesis has to be worked on or examinations prepared for. All this can be achieved only if the university teachers help to introduce the student to the new disciplines as early on as possible, in order to create interest and excitement that in turn set free essential new energy. At the Johann Wolfgang Goethe University in Frankfurt we therefore con front the student with theoretical physics immediately, in the first semester. Theoretical Mechanics I and II, Electrodynamics, and Quantum Mechanics I - An Introduction are the basic courses during the first two years. These lectures are supplemented with many mathematical explanations and much support material. After the fourth semester of studies, graduate work begins, and Quantum Mechanics II - Symmetries, Statistical Mechanics and Ther modynamics, Relativistic Quantum Mechanics, Quantum Electrodynamics, the Gauge Theory of Weak Interactions, and Quantum Chromo dynamics are obligatory.","['Walter Greiner', 'Joachim Reinhardt']",Springer Science & Business Media,2013-06-29,['Science']
The Leadership Secrets of Jesus,"Influence is an art! The Heart of a Leader offers insight and wisdom on choosing values, aiming for excellence, maintaining integrity, finding the courage to change, helping others reach their potential, and more.",['Mike Murdock'],,1997-01-01,['Religion']
The Real Odessa - How Peron Brought the Nazi War Criminals to Argentina,"Goni reveals how Nazi war criminals found refuge in Argentina, supported by President Juan Perón, who wished to bring in as many top Nazis as he could to help with his own authoritarian regime and prepare for the battle against communism.",['Uki Goñi'],Granta Books (Uk),2002,['Argentina']
The Green Gods,"Giving Western literature and art many of its most enduring themes and archetypes, Greek mythology and the gods and goddesses at its core are a fundamental part of the popular imagination. At the heart of Greek mythology are exciting stories of drama, action, and adventure featuring gods and goddesses, who, while physically superior to humans, share many of their weaknesses. Readers will be introduced to the many figures once believed to populate Mount Olympus as well as related concepts and facts about the Greek mythological tradition.",['Michael Taft'],"The Rosen Publishing Group, Inc",1900-01-01,['Juvenile Nonfiction']
I Will Die Free,"What is the place of human free will in our lives if all our actions are the result of some other cause? Does our processing unconscious beliefs or desires make us less free? Is our free will necessarily restricted if we do not choose our own beliefs? The debate between free will and its opposing doctrine, determinism, is one of the key issues in philosophy. Free Will: An historical and philosophical introduction provides a comprehensive introduction to this highly important question and examines the contributions made by sixteen of the most outstanding thinkers from the time of early Greece to the twentieth century: *Homer *Sophocles *Platto *Aristotle *St Augustine *St Thomas Aquinas *Descaartes *Spinoza *Hume *Kant *Schopehauer *Freud *Sartre *Weil *Wittgenstein *Moore Ilham Dilman brings together all the dimensions of the problem of free will with examples from literature, ethics and psychoanalysis. Drawing out valuable insights from both sides of the free will-determinism divide, and he provides an accessible and highly readable introduction to this perennial problem.",['İlham Dilman'],Psychology Press,1999,['Philosophy']
Snorri Sturluson: Ein biografi (Norwegian Edition),"'Fascinating...sumptuously produced with lots of full-colour images, is a kind of potted treasury of cartographical history that gleams with pieces-of-eight-like snippets of information...this is an enthralling book, and joins the likes of Simon Garfield's On the Map and Jerry Brotton's A History of the World in Twelve Maps in the field of popular reaffirmations of the ingenuity of geography.' Travis Elborough, Spectator 'A fascinating book that I will always treasure.' Sir Ranulph Fiennes 'This wonderful book is a reminder of how much careful thought was given to the shape of the world even in ancient times - the landscape, how places are related to one another. I pored over these maps for hours, imagining those minds hard at work, visualising how it all connected as a whole. Just brilliant.' Neil Oliver 'Visually stunning...it's gone straight to the top of my Christmas present list.' The Bookseller 'I remember how well I liked to turn the pages of my childhood atlas and travel the world to find out where countries and cities were. But there was never anything about why the maps were created - or who drew them. Theatre of the World was my big chance to tell the stories of all those men and women map makers whose amazing work deserves to be celebrated.' Thomas Reinertsen Berg Beautifully illustrated and rich in detail, Theatre of the World reignites our curiosity with the world both ancient and modern. Before you could just put finger to phone to scroll Google Maps, in advance of the era of digital mapping and globes, maps were being constructed from the ideas and questions of pioneering individuals. From visionary geographers to heroic explorers, from the mysterious symbols of the Stone Age to the familiar navigation of Google Earth, Thomas Reinertsen Berg examines the fascinating concepts of science and worldview, of art and technology, power and ambitions, practical needs and distant dreams of the unknown.",['Thomas Reinertsen Berg'],Hachette UK,2018-09-06,['History']
The Husbands: An Account of Books 3 and 4 of Homer's Iliad,"This collection of essays examines the various ways in which the Homeric epics have been responded to, reworked, and rewritten by women writers of the twentieth and early twenty-first centuries. Beginning in 1914 with the First World War, it charts this understudied strand of the history of Homeric reception over the subsequent century up to the present day, analysing the extraordinary responses both to the Odyssey and to the Iliad by women from around the world. The backgrounds of these authors and the genres they employ - memoir, poetry, children's literature, rap, novels - testify not only to the plasticity of Homeric epic, but also to the widening social classes to whom Homer appeals, and it is unsurprising to see the myriad ways in which women writers across the globe have played their part in the story of Homer's afterlife. From surrealism to successive waves of feminism to creative futures, Homer's footprint can be seen in a multitude of different literary and political movements, and the essays in this volume bring an array of critical approaches to bear on the work of authors ranging from H.D. and Simone Weil to Christa Wolf, Margaret Atwood, and Kate Tempest. Students and scholars of not only classics, but also translation studies, comparative literature, and women's writing will find much to interest them, while the volume's concluding reflections by Emily Wilson on her new translation of the Odyssey are an apt reminder to all of just how open a text can be, and of how great a difference can be made by a woman's voice.","['Fiona Cox', 'Elena Theodorakopoulos']","Oxford University Press, USA",2019-10,['Literary Criticism']
AVAILABLE LIGHT : A NOVEL,"New York magazine was born in 1968 after a run as an insert of the New York Herald Tribune and quickly made a place for itself as the trusted resource for readers across the country. With award-winning writing and photography covering everything from politics and food to theater and fashion, the magazine's consistent mission has been to reflect back to its audience the energy and excitement of the city itself, while celebrating New York as both a place and an idea.",,,1986-02-24,
How to Play Black Gospel: For Beginners,"We are made in the image and likeness of God. Bernard of Clairvaux, the versatile troubadour of Christian love, is no naive romantic. He understands that a series of moral changes must precede any exercise of this love. For him, the seat of love is the faculty of the human will (the Image). On the other hand, the uninhibited action of free choice (the Likeness) constitutes the perfection of the faculty. The Image, because of sin and consequent misery, has lost its Likeness to God. Only divine intervention, through the efficacy of grace, can restore Likeness and cleanse the blemished Image. The text is not a polemic, but rather and apologia rooted in Bernard''s personal experience. The ardour of love springs from a flourishing freedom, the direct result of a double cause: divine grace and the restored union of Image and Likeness. Without free choice there is nothing to be saved; while without grace there is no salvation.",['Robert L. Jefferson'],,2006-02-01,['Music']
Gardens of Use & Delight: Uniting the Practical and Beautiful in an Integrated Landscape,What might qualify one for master gardener status? Try 30 years of successful gardening on a remote Nova Scotia farm--and all without electricity and with only horse power! Jigs and Jo Ann Gardner devised a gaggle of ingenious and delightful solutions to garden problems. Their hard-earned lessons apply to gardeners everywhere--regardless of the extent of their landscape and ambitions for it--who desire to blend artistry and practicality.,"['Jigs Gardner', 'Jo Ann Gardner']","Golden, Colo. : Fulcrum Pub.",2002,['Gardening']
Hysteria in Remission,The artist's underground comics work.,"['Robert Williams', 'Gilbert Shelton']",,2009-03-30,['Comics & Graphic Novels']
"Modern European History, 1871-1975: A Documentary Reader (A level documentary reader)","This collection shares the features of the British Documentary Reader. It offers A level students a wide selection of documents, many published for the first time, which together address the key themes in modern European history. It includes speeches, treaties, newspaper reports, diary extracts, statistics, oral accounts, photographs, posters and cartoons.",['David Welch'],Heinemann Educational Publishers,1994,['Europe']
Incident at Big Sky,"Edgar Award Finalist: The “exciting” true story of the abduction of biathlete Kari Swenson and the five-month manhunt to bring her tormentors to justice (The New York Times Book Review). Former rodeo cowboy Johnny France had been sheriff of Madison County, Montana, for three years when Kari Swenson, a Bozeman resident training for the World Biathlon Championship, went missing near Big Sky Resort in July 1984. Her friends feared that Kari had been attacked by a grizzly bear, but the truth was far scarier: She’d been kidnapped at gunpoint by father-and-son survivalists Don and Dan Nichols. The pair had been living in the wilderness off and on for years and hoped to make Kari a “mountain woman” and Dan’s bride. But the plan went horribly wrong from the start, and after a deadly firefight with rescuers, the kidnappers vanished into the rugged terrain of the Spanish Peaks. As Montana’s summer froze into brutal winter blizzards, SWAT teams, forest rangers, and antiterrorist units searched the backcountry but sighted the mountain men only once. Then came the call about a strange campfire on a slope above the Madison River. Sheriff France decided to go into the forest to face the fugitives—alone. The resulting showdown made him “perhaps the most famous Western sheriff since Wyatt Earp . . . a modern legend” (Chicago Tribune). Incident at Big Sky is an “amazing . . . exciting retelling of a modern crime” that made headlines around the world (The New York Times Book Review). In a voice as distinctive and compelling as the Montana landscape, France takes readers on a high-stakes adventure so bizarre and unforgettable it could only be true.","['Johnny France', 'Malcolm McConnell']",Open Road Media,2017-03-21,['True Crime']
A Paratrooper's Panoramic View: Training with the 464th Parachute Field Artillery Battalion for Operation Varsity's 'Rhine Jump' with the 17th Airborne Division,"At 10:00 AM on March 24, 1945, a literal “sky train” of two and one-half hours in length flew in 226 C-47 and 72 C-46 transport planes carrying 17,122 paratroopers together with 906 gliders being pulled by 610 C-47 tow planes. Paratrooper Robert L. Wilson jumped from the lead serial of planes in this largest airborne assault in military history. He landed in the designated drop zone near Wesel. There, with others in “Branigan’s Bastard Battalion,” – the 464th Parachute Field Artillery Battalion – he made history as part of the first artillery airborne outfit to land, reassemble, and fire their howitzer’s east of the Rhine River. Field Marshall Montgomery, who had elaborately orchestrated this airborne assault, gathered Prime Minister Churchill together with Generals Eisenhower, Ridgway, and Brereton on the western bank of the Rhine to watch the air spectacle unfold. The objectives of this airborne assault – Operation Varsity – were achieved predominantly through the efforts of the U.S. 17th and British 6th Airborne Divisions. These troopers closed in along the Rhine all along its length to prevent any German stronghold from being secured on its bank. They later thrust across Germany’s northern plains en route to Berlin. In sum, Varsity’s success accelerated the Nazi collapse. A Paratrooper’s Panoramic View provides readers a historical perspective of Varsity from one of the Operation’s participants. In it, Wilson vividly recounts the attractions of the airborne during the early days of Army parachute training. From entering Ft. Benning’s Parachute School in 1943, to Camp Mackall, to Europe’s “Cigarette Camps,” to the Marshalling Area in Chalons-sur-Marne, France, in March 1945, this book closely follows the preparations that guided this trooper towards the “Rhine Jump.”","['Robert L. Wilson', 'Philip K. Wilson']",Author House,2005-12-05,['Biography & Autobiography']
LEGACY: The Story of Talula Gilbert Bottoms and Her Quilts,"A granddaughter of master quilter Talula Gilbert Bottoms traces her grandmother's life, discusses the artistry of her quilts, and provides a look at life in the South in the late nineteenth century and early twentieth century.",['Nancilu B. Burdick'],Rutledge Hill Press,1988,['Biography & Autobiography']
"Pragmatism and the Political Economy of Cultural Revolution, 1850-1940 (Cultural Studies of the United States)","The rise of corporate capitalism was a cultural revolution as well as an economic event, according to James Livingston. That revolution resides, he argues, in the fundamental reconstruction of selfhood, or subjectivity, that attends the advent of an ""age",['James Livingston'],Univ of North Carolina Press,1997,['Business & Economics']
Professional Issues in Speech-Language Pathology and Audiology,"The fifth edition of Professional Issues in Speech-Language Pathology and Audiology is a singularly comprehensive resource for students in speech-language pathology and audiology as they prepare for their professional careers. It also serves as a timely source of information for both practitioners and faculty, serving as an updated “state of the professions” desk reference. The book is divided into four major sections: overview of the professions; employment issues; setting-specific issues; and working productively. The information presented in each section provides the reader with a better understanding and a new perspective on how professional issues have been affected by both internal and external influences in recent years including technological advances, demographic shifts, globalization, and economic factors. Chapter authors are recognized subject matter experts, providing a blend of both foundational and cutting-edge information in areas such as evidence-based practice, ethics, finding a job, interprofessional practice, service delivery in healthcare and education, technology, cultural competence, supervision, and leadership. Students reading this book will appreciate how the professions have evolved over time while acquiring a sense of where they are right now as they prepare to enter the professional world. Each of the topics covered in the book will continue to play important roles in the future of audiology and speech-language pathology, providing early career professionals with the requisite knowledge to achieve success in any setting. New to the Fifth Edition: * New coeditor Mark DeRuiter, PhD, MBA, CCC-A, CCC-SLP * 5 new chapters including Professional Accountability (Shelly Chabon and Becky Cornett); Safety in the Workplace (Donna Fisher-Smiley and Cynthia Richburg); Interprofessional Education and Interprofessional Practice (Alex Johnson); Counseling (Michael Flahive); and Advocacy (Tommie Robinson and Janet Deppe) * New authors Tricia Ashby, Bob Augustine, Stacy K. Betz, Janet Deppe, Cathy DeRuiter, Mark DeRuiter, Robin Edge, Susan Felsenfeld, Liza Finestack, Michael Flahive, Carolyn Higdon, Kelly M. Holland, Shirley Huang, Susan Ingram, Marie Ireland, Jeffrey Johnson, Pui Fong Kan, Lemmietta McNeilly, Lissa Power deFur, Gail Richard, Steve Ritch, Lisa Scott, and Tina Veale * Critical thinking questions at end of each chapter for classroom discussion and examination * Updated table of chapter content relevant to the Council for Clinical Certification standards for ASHA Certificate of Clinical Competence * Updated acronyms glossary * Updated figures and tables * Updated and expanded references Disclaimer: Please note that ancillary content (such as documents, audio, and video, etc.) may not be included as published in the original print version of this book.","['Melanie W. Hudson', 'Mark DeRuiter']",Plural Publishing,2019-11-18,['Medical']
"Calculus: For Business, Economics, Life Sciences, and Social Sciences","Barnett/Ziegler/Byleen is designed to help students help themselves succeed in the course. This text offers more built-in guidance than any other on the market-with special emphasis on prerequisites skills-and a host of student-friendly features to help students catch up or learn on their own. Note: You are purchasing a standalone product; MyMathLab does not come packaged with this content. MyMathLab is not a self-paced technology and should only be purchased when required by an instructor. If you would like to purchase both the physical text and MyMathLab, search for: 0321925130 / 9780321925138 Calculus for Business, Economics, Life Sciences and Social Sciences Plus NEW MyMathLab with Pearson etext -- Access Card Package Package consists of: 0321431308 / 9780321431301 MyMathLab -- Glue-in Access Card 0321654064 / 9780321654069 MyMathLab Inside Star 0321869834 / 9780321869838 Calculus for Business, Economics, Life Sciences, and Social Sciences","['Raymond A. Barnett', 'Michael R. Ziegler', 'Karl E. Byleen']",Pearson College Division,2014-01-18,['Mathematics']
George Mueller,"Join him on his journey from a life of sin and rebellion to his glorious conversion. Share his struggles and triumphs as he establishes orphan homes to care for thousands of English children, depending upon God's response to his prayer of faith.",['George Müller'],,1984,['Biography & Autobiography']
The Myth of the State,Examines the nature and functions of myth and its role in the development of political thought from the time of the ancient Greeks to the twentieth century,['Ernst Cassirer'],Yale University Press,1946-01-01,['Social Science']
Pablo Periquito y sus amigos * Pablo Parakeet and His Friends (Spanish Edition),Pablo Periquito lives in the jungle with his friends. He introduces them and tells a bit about each one. Bilingual in Spanish and English. Contains activities and is suitable for coloring.,['Pat Alvarado'],,2006-02-13,
Manga! Manga!: World of Japanese Comic Books,"Manga in Japanese means ""comics,"" and comics in Japan are simply the most marvelous multifaceted misunderstood mass-market monster publishing phenomenon ever, anywhere. A multibillion dollar industry ... tens of millions of devoted fans ... thousands of ceaselessly toiling artists, a few of whom grow fabulously wealthy. There's something for everyone, too, from historical romances set in the French revolution and bloody duels between medieval samurai, to tales of wrestlers, enlightened Buddhist sages, spacemen, anthropomorphic cats, gangsters, girls in and out of love, warrior robots, sushi-makers, and even the tireless Mr. Nobody at the office, the esteemed soldier in Japan's economic-miracle army. Until now, this world has been hardly remarked upon by Western observers, except for mention of the fact that on trains, in restaurants, and indeed at every leisure moment the Japanese seem to have their heads buried in comics. But with this book Japanese comics emerge in all their spectacular variety for the first time in English. Author Fred Schodt offers a wealth of highlights and sidelights into history, themes, and artists. And every page is chock-full of samples from Japanese comic magazines. Here is popular culture running at a high pitch, and outsiders might find it all a bit puzzling and perverse. So if you're a bit straitlaced take it slow. But if your assumptions about comics are open to challenge, or if you thought you knew the real Japan because you've read all about Zen and the tea ceremony and Theory Z, read on, read on.",['Frederik L. Schodt'],Kodansha,1983,"['Comic books, strips, etc']"
Bulbs,Offers advice on how to grow bulbs and describes the characteristics of more than 400 bulb plants.,['Barbara W. Ellis'],Houghton Mifflin Harcourt,2001,['Gardening']
